case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_0,component_fn,1,0,S2402511|0:A:bf762efe-1813-4bfd-b4bf-e0831a7c88dd,,bf762efe-1813-4bfd-b4bf-e0831a7c88dd,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,732790.0,0.0,0.0
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_1,component_fn,1,0,S2402511|0:A:150ecd24-72ab-42f8-a62e-a4cf3221424c,,150ecd24-72ab-42f8-a62e-a4cf3221424c,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,2236416.0,0.0,0.0
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_2,component_fn,1,0,S2402511|0:A:f4d38764-99ee-46c2-a4a9-b3c8626cedda,,f4d38764-99ee-46c2-a4a9-b3c8626cedda,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,817152.0,0.0,0.0
S2402511,Basal plasmacytosis,components,Basal plasmacytosis:comp_0,component_fp,0,1,,S2402511|0:C:0a581f6d-3995-48d7-8c38-05310a1fb80d,,0a581f6d-3995-48d7-8c38-05310a1fb80d,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\DMC\DMC\S2402511\S2402511_A1.geojson,0.0,0.0,inf,0.0,614790.0,0.0
S2402511,Diffuse crypt distortion (>50% area in each fragment),components,Diffuse crypt distortion (>50% area in each fragment):comp_0,component_fp,0,1,,S2402511|0:C:478acbba-8728-44e1-946c-6f7e7e90aa9c,,478acbba-8728-44e1-946c-6f7e7e90aa9c,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\DMC\DMC\S2402511\S2402511_A1.geojson,0.0,0.0,inf,0.0,67774674.0,0.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_0,component_fn,1,0,S2402511|0:A:1611b1d5-21f1-42b0-b2df-32fdefdec2f5,,1611b1d5-21f1-42b0-b2df-32fdefdec2f5,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,20925440.0,0.0,0.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_1,component_fn,1,0,S2402511|0:A:47cfa817-8184-4202-8a12-e9bf1354b892,,47cfa817-8184-4202-8a12-e9bf1354b892,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,26616832.0,0.0,0.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_2,component_fn,1,0,S2402511|0:A:b2ac14bf-d80c-4969-a0af-4f4e9b24a745,,b2ac14bf-d80c-4969-a0af-4f4e9b24a745,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,16265216.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_0,component_fn,1,0,S2402511|0:A:549ee80c-337d-4af0-9580-d3f4cdf558b6,,549ee80c-337d-4af0-9580-d3f4cdf558b6,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,392034.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_1,component_fn,1,0,S2402511|0:A:624f11fb-9341-4f5a-9f7e-7eac108822c0,,624f11fb-9341-4f5a-9f7e-7eac108822c0,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,211848.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_2,component_fn,1,0,S2402511|0:A:fe25e6e7-b0df-4550-8beb-6d0baa246fbf,,fe25e6e7-b0df-4550-8beb-6d0baa246fbf,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,213073.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_3,component_fn,1,0,S2402511|0:A:bfe9cdca-a8ae-4941-82da-a234963eda52,,bfe9cdca-a8ae-4941-82da-a234963eda52,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,135548.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_4,component_fn,1,0,S2402511|0:A:dce694fe-fbbf-4b7a-a36c-36eefa761296,,dce694fe-fbbf-4b7a-a36c-36eefa761296,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,163020.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_5,component_fn,1,0,S2402511|0:A:b4f9d06a-dfd4-4a6c-ad0b-59597b042398,,b4f9d06a-dfd4-4a6c-ad0b-59597b042398,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,52910.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_6,component_fn,1,0,S2402511|0:A:c0af6251-1fc5-4cb4-acf0-e3d0af160d0a,,c0af6251-1fc5-4cb4-acf0-e3d0af160d0a,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,138706.0,0.0,0.0
