case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_0,component_tp,1,1,S2402511|0:A:bf762efe-1813-4bfd-b4bf-e0831a7c88dd,S2402511|0:B:9789a0f9-91a1-46b3-b82f-ccc0657a8882,bf762efe-1813-4bfd-b4bf-e0831a7c88dd,9789a0f9-91a1-46b3-b82f-ccc0657a8882,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.804532779566114,1.0,3.739945696553977,732790.0,195936.0,195936.0
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_1,component_tp,1,1,S2402511|0:A:150ecd24-72ab-42f8-a62e-a4cf3221424c,S2402511|0:B:ea979f4e-d74f-489e-a8b4-86aef6df4151,150ecd24-72ab-42f8-a62e-a4cf3221424c,ea979f4e-d74f-489e-a8b4-86aef6df4151,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.7295045504787051,1.0,4.896067674012321,2236416.0,456778.0,456778.0
S2402511,Basal lymphoid aggregates,components,Basal lymphoid aggregates:comp_2,component_tp,1,1,S2402511|0:A:f4d38764-99ee-46c2-a4a9-b3c8626cedda,S2402511|0:B:7d223839-cb06-4bc0-8d56-b3c965426305,f4d38764-99ee-46c2-a4a9-b3c8626cedda,7d223839-cb06-4bc0-8d56-b3c965426305,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.8278133848202214,0.895774647887324,2.2133044420368364,817152.0,369200.0,330720.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_0,component_tp,1,1,S2402511|0:A:1611b1d5-21f1-42b0-b2df-32fdefdec2f5,S2402511|0:B:f89282ea-4bca-40b0-b21f-901ab2bf4dc7,1611b1d5-21f1-42b0-b2df-32fdefdec2f5,f89282ea-4bca-40b0-b21f-901ab2bf4dc7,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.8668802422485646,0.8680412371134021,1.109018021627649,20925440.0,18868440.0,16378584.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_1,component_tp,1,1,S2402511|0:A:47cfa817-8184-4202-8a12-e9bf1354b892,S2402511|0:B:391ab9b9-c615-46f9-8f09-eb4a4a5f5529,47cfa817-8184-4202-8a12-e9bf1354b892,391ab9b9-c615-46f9-8f09-eb4a4a5f5529,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.7844514462127589,1.0,4.029392939518002,26616832.0,6605668.0,6605668.0
S2402511,Marked (>50%) crypt distortion,components,Marked (>50%) crypt distortion:comp_2,component_tp,1,1,S2402511|0:A:b2ac14bf-d80c-4969-a0af-4f4e9b24a745,S2402511|0:B:14991ecf-505b-4dda-a5d5-91ad210809e6,b2ac14bf-d80c-4969-a0af-4f4e9b24a745,14991ecf-505b-4dda-a5d5-91ad210809e6,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.825765069173173,0.8482652182424137,1.590025733442458,16265216.0,25862112.0,13797217.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_0,component_tp,1,1,S2402511|0:A:549ee80c-337d-4af0-9580-d3f4cdf558b6,S2402511|0:B:347ed4ea-c34c-482c-a72c-e2affa658aa2,549ee80c-337d-4af0-9580-d3f4cdf558b6,347ed4ea-c34c-482c-a72c-e2affa658aa2,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\S2402511\S2402511_A1.geojson,0.7344054478428992,0.7679180887372014,1.817520929307152,392034.0,712530.0,301050.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_1,component_fn,1,0,S2402511|0:A:624f11fb-9341-4f5a-9f7e-7eac108822c0,,624f11fb-9341-4f5a-9f7e-7eac108822c0,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,211848.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_2,component_fn,1,0,S2402511|0:A:fe25e6e7-b0df-4550-8beb-6d0baa246fbf,,fe25e6e7-b0df-4550-8beb-6d0baa246fbf,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,213073.0,0.0,0.0
S2402511,Moderate to marked mononuclear cell infiltrate,components,Moderate to marked mononuclear cell infiltrate:comp_3,component_fn,1,0,S2402511|0:A:bfe9cdca-a8ae-4941-82da-a234963eda52,,bfe9cdca-a8ae-4941-82da-a234963eda52,,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\S2402511\S2402511.geojson,,0.0,0.0,inf,135548.0,0.0,0.0
