case_key,class,mode,unit_id,status,nA,nB,a_uids,b_uids,a_feat_ids,b_feat_ids,a_src_files,b_src_files,cas,oc,ar,area_a,area_b,area_intersection
2385991,Basal lymphoid aggregates,one_to_one,Basal lymphoid aggregates:pair_0,matched,1,1,2385991|0:A:f9960fe7-51fb-4e77-92ef-cc86636c482c,2385991|0:B:f24000c3-18cf-4ba5-bbf6-f53f5781b338,f9960fe7-51fb-4e77-92ef-cc86636c482c,f24000c3-18cf-4ba5-bbf6-f53f5781b338,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.8635491193974293,1.0,2.9545454545454546,805090.0,272492.0,272492.0
2385991,Basal lymphoid aggregates,one_to_one,Basal lymphoid aggregates:pair_1,matched,1,1,2385991|0:A:706dbdb3-986e-4b6b-9777-0e30a5c595ba,2385991|0:B:3336c256-ddea-4c03-88d5-162a72d8795c,706dbdb3-986e-4b6b-9777-0e30a5c595ba,3336c256-ddea-4c03-88d5-162a72d8795c,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.8045028754200422,0.8114856429463171,1.30074815240074,548685.0,713701.0,445250.0
2385991,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_0,matched,1,1,2385991|0:A:10e5dbe3-1c44-47a7-b6fe-b586c4744afc,2385991|0:B:2b8f0146-36b3-4fce-8074-599257d13ff6,10e5dbe3-1c44-47a7-b6fe-b586c4744afc,2b8f0146-36b3-4fce-8074-599257d13ff6,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.985648097595666,1.0,1.4050448902526373,39693312.0,28250565.0,28250565.0
2385991,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_1,matched,1,1,2385991|0:A:101ad9c8-729f-435b-a1d1-693090c9bcfe,2385991|0:B:3b388678-b6b7-4eba-81ad-7ccfd19ec1d1,101ad9c8-729f-435b-a1d1-693090c9bcfe,3b388678-b6b7-4eba-81ad-7ccfd19ec1d1,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.975019523215075,1.0,1.5681070251316287,33559808.0,21401478.0,21401478.0
2385991,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_2,matched,1,1,2385991|0:A:0df3b320-b5b7-4a4f-aff0-edd6a2349768,2385991|0:B:d8ed8389-d05b-4b96-87ab-7e0f375c1b54,0df3b320-b5b7-4a4f-aff0-edd6a2349768,d8ed8389-d05b-4b96-87ab-7e0f375c1b54,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.893724027236069,1.0,2.5807638515330824,30704896.0,11897600.0,11897600.0
2385991,Marked (>50%) crypt distortion,one_to_one,Marked (>50%) crypt distortion:pair_3,matched,1,1,2385991|0:A:16b58a3d-aa9b-474c-a1bc-3bee91864419,2385991|0:B:7854e528-070a-4ffe-9401-ffb857082b6b,16b58a3d-aa9b-474c-a1bc-3bee91864419,7854e528-070a-4ffe-9401-ffb857082b6b,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.7156036893810641,0.7353088900050226,1.5938759327758467,40905216.0,25663990.0,18870960.0
2385991,Moderate to marked mononuclear cell infiltrate,one_to_one,Moderate to marked mononuclear cell infiltrate:pair_0,matched,1,1,2385991|0:A:46e22890-2998-4615-8416-832e0bec3203,2385991|0:B:f760a8b4-3cf5-4c01-9b52-69ebcc6dff01,46e22890-2998-4615-8416-832e0bec3203,f760a8b4-3cf5-4c01-9b52-69ebcc6dff01,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.9522017002338223,1.0,1.8700422041394582,942462.0,503979.0,503979.0
2385991,Moderate to marked mononuclear cell infiltrate,one_to_one,Moderate to marked mononuclear cell infiltrate:pair_1,matched,1,1,2385991|0:A:857ce427-e87b-46d3-9c49-527bef6c8593,2385991|0:B:bb6f92f3-ff2c-4435-8ca0-b703b573894f,857ce427-e87b-46d3-9c49-527bef6c8593,bb6f92f3-ff2c-4435-8ca0-b703b573894f,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.9180480198634625,0.9249577388115294,1.2775217036272992,1426818.0,1116864.0,1033052.0
2385991,Moderate to marked mononuclear cell infiltrate,one_to_one,Moderate to marked mononuclear cell infiltrate:pair_2,matched,1,1,2385991|0:A:5115808b-dde5-4c4b-b612-fe27572338ce,2385991|0:B:510d22a2-aa01-4817-a400-6a1b1ab6c657,5115808b-dde5-4c4b-b612-fe27572338ce,510d22a2-aa01-4817-a400-6a1b1ab6c657,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.9095697470499232,0.9154613424246004,1.2551686891360483,474008.0,594960.0,433936.0
2385991,Moderate to marked mononuclear cell infiltrate,one_to_one,Moderate to marked mononuclear cell infiltrate:pair_3,matched,1,1,2385991|0:A:4c69f4dd-10a2-4468-8530-2c3a308fd783,2385991|0:B:b949053b-3d32-4b7b-9aa8-4755f1152bc1,4c69f4dd-10a2-4468-8530-2c3a308fd783,b949053b-3d32-4b7b-9aa8-4755f1152bc1,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.8800634130553215,0.9486740804106074,2.1705161106358712,995988.0,2161808.0,944868.0
2385991,Moderate to marked mononuclear cell infiltrate,one_to_one,Moderate to marked mononuclear cell infiltrate:pair_4,matched,1,1,2385991|0:A:eb5a2a37-f26f-43ca-9a80-e99ad85012a5,2385991|0:B:3650fd83-ef27-4fe3-8909-d0553e75cf0c,eb5a2a37-f26f-43ca-9a80-e99ad85012a5,3650fd83-ef27-4fe3-8909-d0553e75cf0c,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMSD_all_annotations\AIIMSD_all_annotations\Annotated\EQAS_1_Annotations\2385991\2385991.geojson,C:\Users\Aditya\OneDrive\Documents\Academic\sem2\thesis\argument_score\AIIMS_G\AIIMS_G\Annotated\2385991\2385991.geojson,0.8643891915401285,1.0,2.9439396628216503,338100.0,995346.0,338100.0
